Date,Equity
07-09-1984,10000
10-09-1984,10000
11-09-1984,10000
12-09-1984,10000
13-09-1984,10000
14-09-1984,10000
17-09-1984,10000
18-09-1984,10000
19-09-1984,10000
20-09-1984,10000
21-09-1984,10000
24-09-1984,10000
25-09-1984,10000
26-09-1984,10000
27-09-1984,10000
28-09-1984,10000
01-10-1984,10000
02-10-1984,10000
03-10-1984,10000
04-10-1984,10000
05-10-1984,10000
08-10-1984,10000
09-10-1984,10000
10-10-1984,10000
11-10-1984,10000
12-10-1984,10000
15-10-1984,10000
16-10-1984,10000
17-10-1984,10000
18-10-1984,10000
19-10-1984,10000
22-10-1984,10000
23-10-1984,10000
24-10-1984,10000
25-10-1984,10000
26-10-1984,10000
29-10-1984,10000
30-10-1984,10000
31-10-1984,10000
01-11-1984,10000
02-11-1984,10000
05-11-1984,10000
06-11-1984,10000
07-11-1984,10000
08-11-1984,10000
09-11-1984,10000
12-11-1984,10000
13-11-1984,10000
14-11-1984,10000
15-11-1984,10000
16-11-1984,10000
19-11-1984,10000
20-11-1984,10000
21-11-1984,10000
23-11-1984,10000
26-11-1984,10000
27-11-1984,10000
28-11-1984,10000
29-11-1984,10000
30-11-1984,10000
03-12-1984,10000
04-12-1984,10000
05-12-1984,10000
06-12-1984,10000
07-12-1984,10000
10-12-1984,10000
11-12-1984,10000
12-12-1984,10000
13-12-1984,10000
14-12-1984,10248.9
17-12-1984,10497.7
18-12-1984,11121.1
19-12-1984,10685.6
20-12-1984,10622.3
21-12-1984,10497.7
24-12-1984,10685.6
26-12-1984,10716
27-12-1984,10778.2
28-12-1984,11151.6
31-12-1984,11307.7
02-01-1985,10839.6
03-01-1985,11027.1
04-01-1985,11027.1
07-01-1985,10965.1
08-01-1985,10870
09-01-1985,11151.6
10-01-1985,11649.5
11-01-1985,11556.7
14-01-1985,11866.8
15-01-1985,11649.5
16-01-1985,11746.5
17-01-1985,10901.8
18-01-1985,11121.1
21-01-1985,11370.1
22-01-1985,11681
23-01-1985,11493.6
24-01-1985,11276.2
25-01-1985,11493.6
28-01-1985,11746.5
29-01-1985,11616.8
30-01-1985,11616.8
31-01-1985,11276.2
01-02-1985,11121.1
04-02-1985,11370.1
05-02-1985,11432.3
06-02-1985,11649.5
07-02-1985,11616.8
08-02-1985,11616.8
11-02-1985,11839.1
12-02-1985,11556.7
13-02-1985,11027.1
14-02-1985,10716
15-02-1985,10870
19-02-1985,10716
20-02-1985,10248.9
21-02-1985,10436.7
22-02-1985,10716
25-02-1985,10589.5
26-02-1985,10374.6
27-02-1985,10374.6
28-02-1985,10374.6
01-03-1985,10374.6
04-03-1985,10374.6
05-03-1985,10374.6
06-03-1985,10374.6
07-03-1985,10374.6
08-03-1985,10374.6
11-03-1985,10374.6
12-03-1985,10374.6
13-03-1985,10374.6
14-03-1985,10374.6
15-03-1985,10374.6
18-03-1985,10374.6
19-03-1985,10374.6
20-03-1985,10374.6
21-03-1985,10374.6
22-03-1985,10374.6
25-03-1985,10374.6
26-03-1985,10374.6
27-03-1985,10374.6
28-03-1985,10374.6
29-03-1985,10374.6
01-04-1985,10374.6
02-04-1985,10374.6
03-04-1985,10374.6
04-04-1985,10374.6
08-04-1985,10374.6
09-04-1985,10374.6
10-04-1985,10374.6
11-04-1985,10374.6
12-04-1985,10374.6
15-04-1985,10374.6
16-04-1985,10374.6
17-04-1985,10374.6
18-04-1985,10374.6
19-04-1985,10374.6
22-04-1985,10374.6
23-04-1985,10374.6
24-04-1985,10374.6
25-04-1985,10374.6
26-04-1985,10374.6
29-04-1985,10374.6
30-04-1985,10374.6
01-05-1985,10374.6
02-05-1985,10374.6
03-05-1985,10374.6
06-05-1985,10374.6
07-05-1985,10374.6
08-05-1985,10374.6
09-05-1985,10374.6
10-05-1985,10374.6
13-05-1985,10374.6
14-05-1985,10374.6
15-05-1985,10374.6
16-05-1985,10374.6
17-05-1985,10374.6
20-05-1985,10374.6
21-05-1985,10374.6
22-05-1985,10374.6
23-05-1985,10374.6
24-05-1985,10374.6
28-05-1985,10374.6
29-05-1985,10374.6
30-05-1985,10374.6
31-05-1985,10374.6
03-06-1985,10374.6
04-06-1985,10374.6
05-06-1985,10374.6
06-06-1985,10374.6
07-06-1985,10374.6
10-06-1985,10374.6
11-06-1985,10374.6
12-06-1985,10374.6
13-06-1985,10374.6
14-06-1985,10374.6
17-06-1985,10374.6
18-06-1985,10374.6
19-06-1985,10374.6
20-06-1985,10374.6
21-06-1985,10374.6
24-06-1985,10374.6
25-06-1985,10374.6
26-06-1985,10374.6
27-06-1985,10374.6
28-06-1985,10374.6
01-07-1985,10374.6
02-07-1985,10374.6
03-07-1985,10374.6
05-07-1985,10374.6
08-07-1985,10374.6
09-07-1985,10374.6
10-07-1985,10374.6
11-07-1985,10374.6
12-07-1985,10374.6
15-07-1985,10374.6
16-07-1985,10374.6
17-07-1985,10374.6
18-07-1985,10374.6
19-07-1985,10374.6
22-07-1985,10374.6
23-07-1985,10374.6
24-07-1985,10170.1
25-07-1985,10420.7
26-07-1985,10420.7
29-07-1985,10420.7
30-07-1985,10420.7
31-07-1985,10212.9
01-08-1985,10212.9
02-08-1985,10163.9
05-08-1985,9903.73
06-08-1985,9802.34
07-08-1985,9802.34
08-08-1985,9802.34
09-08-1985,9802.34
12-08-1985,9802.34
13-08-1985,9802.34
14-08-1985,9802.34
15-08-1985,9802.34
16-08-1985,9802.34
19-08-1985,9802.34
20-08-1985,9802.34
21-08-1985,9802.34
22-08-1985,9802.34
23-08-1985,9802.34
26-08-1985,9802.34
27-08-1985,9802.34
28-08-1985,9802.34
29-08-1985,9802.34
30-08-1985,9802.34
03-09-1985,9802.34
04-09-1985,9802.34
05-09-1985,9802.34
06-09-1985,9802.34
09-09-1985,9802.34
10-09-1985,9802.34
11-09-1985,9802.34
12-09-1985,9802.34
