Date,Action,Price,Shares,CashAfter
13-12-1984,BUY,0.0962794,103864,0.0363984
26-02-1985,SELL,0.0998857,103864,10374.6
23-07-1985,BUY,0.0617964,167882,0.0615184
25-07-1985,SELL,0.0620713,167882,10420.7
30-07-1985,BUY,0.0605786,172019,0.0453116
06-08-1985,SELL,0.0569838,172019,9802.34
26-09-1985,BUY,0.0593704,165104,0.0510822
11-07-1986,SELL,0.138864,165104,22927.1
28-08-1986,BUY,0.14127,162292,0.0620982
02-10-1986,SELL,0.127403,162292,20676.5
10-11-1986,BUY,0.132284,156304,0.0314382
22-10-1987,SELL,0.275599,156304,43077.3
28-12-1987,BUY,0.301735,142765,0.0602592
17-02-1988,SELL,0.314018,142765,44830.8
04-03-1988,BUY,0.35151,127537,0.309159
08-04-1988,SELL,0.30743,127537,39209
08-06-1988,BUY,0.337377,116217,0.0662602
04-08-1988,SELL,0.334449,116217,38868.7
04-10-1988,BUY,0.31131,124855,0.115643
20-10-1988,SELL,0.31131,124855,38868.7
21-12-1988,BUY,0.313061,124157,0.0111162
08-02-1989,SELL,0.286667,124157,35591.7
19-04-1989,BUY,0.306577,116093,0.282174
06-07-1989,SELL,0.309148,116093,35890.2
23-08-1989,BUY,0.328124,109379,0.325942
15-11-1989,SELL,0.33164,109379,36274.8
14-03-1990,BUY,0.277375,130778,0.229752
16-05-1990,SELL,0.311938,130778,40794.9
30-05-1990,BUY,0.310386,131432,0.204764
08-06-1990,SELL,0.286667,131432,37677.4
03-07-1990,BUY,0.3299,114208,0.202708
10-08-1990,SELL,0.290556,114208,33184
13-11-1990,BUY,0.269951,122926,0.0257302
01-05-1991,SELL,0.354192,122926,43539.4
26-07-1991,BUY,0.336433,129414,0.29126
30-09-1991,SELL,0.371258,129414,48046.3
31-10-1991,BUY,0.386333,124364,0.35686
11-12-1991,SELL,0.367379,124364,45689.1
02-01-1992,BUY,0.446287,102376,0.0009042
25-03-1992,SELL,0.48344,102376,49492.7
22-05-1992,BUY,0.446287,110898,0.318618
10-06-1992,SELL,0.403051,110898,44697.9
10-09-1992,BUY,0.369276,121041,0.3321
09-10-1992,SELL,0.325441,121041,39392
27-10-1992,BUY,0.386333,101963,0.364502
11-02-1993,SELL,0.413313,101963,42143
18-05-1993,BUY,0.41626,101242,0.0030012
17-06-1993,SELL,0.309148,101242,31298.8
27-10-1993,BUY,0.238102,131451,0.0188152
22-12-1993,SELL,0.20999,131451,27603.4
24-01-1994,BUY,0.262429,105184,0.0823692
05-04-1994,SELL,0.251292,105184,26432
27-07-1994,BUY,0.232757,113560,0.0951772
05-12-1994,SELL,0.278625,113560,31640.8
11-01-1995,BUY,0.350595,90248,0.252617
02-03-1995,SELL,0.300015,90248,27076
03-05-1995,BUY,0.285783,94743,0.0675682
09-08-1995,SELL,0.323362,94743,30636.4
16-11-1995,BUY,0.299318,102353,0.25828
22-12-1995,SELL,0.241765,102353,24745.6
15-05-1996,BUY,0.213487,115911,0.139668
14-06-1996,SELL,0.179673,115911,20826.2
14-08-1996,BUY,0.170667,122028,0.0640952
30-09-1996,SELL,0.166128,122028,20272.3
10-10-1996,BUY,0.181146,111911,0.101673
13-12-1996,SELL,0.174211,111911,19496.2
27-03-1997,BUY,0.139797,139460,0.139274
15-05-1997,SELL,0.13314,139460,18567.8
01-08-1997,BUY,0.143688,129223,0.0492502
03-10-1997,SELL,0.165905,129223,21438.8
22-01-1998,BUY,0.144226,148647,0.0288432
10-06-1998,SELL,0.210327,148647,31264.5
07-07-1998,BUY,0.228513,136817,0.0432912
21-09-1998,SELL,0.276828,136817,37874.8
02-10-1998,BUY,0.263018,144000,0.227767
05-10-1998,SELL,0.241095,144000,34717.9
04-11-1998,BUY,0.290046,119697,0.271705
13-11-1998,SELL,0.267545,119697,32024.6
04-01-1999,BUY,0.309148,103589,0.273398
18-02-1999,SELL,0.269951,103589,27964.2
21-04-1999,BUY,0.257941,108413,0.0699042
18-10-1999,SELL,0.549213,108413,59541.9
25-10-1999,BUY,0.558447,106620,0.279733
27-04-2000,SELL,0.950321,106620,101324
07-07-2000,BUY,0.816258,124131,0.582955
11-08-2000,SELL,0.715,124131,88754.2
05-09-2000,BUY,0.936374,94785,0.0383652
03-10-2000,SELL,0.334449,94785,31700.8
24-01-2001,BUY,0.30743,103115,0.14238
04-06-2001,SELL,0.309786,103115,31943.7
13-07-2001,BUY,0.372752,85696,0.370378
30-07-2001,SELL,0.283732,85696,24315.1
29-10-2001,BUY,0.264245,92017,0.0356852
10-05-2002,SELL,0.349691,92017,32177.6
31-10-2002,BUY,0.241095,133464,0.0493522
17-12-2002,SELL,0.226177,133464,30186.5
24-02-2003,BUY,0.221033,136570,0.0596702
04-04-2003,SELL,0.216277,136570,29537
09-05-2003,BUY,0.274419,107634,0.194914
19-11-2003,SELL,0.306223,107634,32960.2
14-01-2004,BUY,0.362862,90833,0.35725
14-05-2004,SELL,0.405832,90833,36863.3
02-06-2004,BUY,0.433666,85003,0.384308
16-08-2004,SELL,0.461589,85003,39236.8
31-08-2004,BUY,0.517294,75850,0.0841752
15-04-2005,SELL,1.06023,75850,80418.5
10-06-2005,BUY,1.07397,74879,0.730045
01-07-2005,SELL,1.09471,74879,81971.5
11-07-2005,BUY,1.14253,71745,0.705285
13-02-2006,SELL,1.94072,71745,139238
27-04-2006,BUY,2.08018,66935,0.813385
02-06-2006,SELL,1.84929,66935,123783
03-08-2006,BUY,2.08706,59309,1.598
08-01-2007,SELL,2.56368,59309,152051
09-01-2007,BUY,2.77583,54776,2.03104
09-02-2007,SELL,2.49748,54776,136804
16-03-2007,BUY,2.68715,50910,1.18902
23-08-2007,SELL,3.93052,50910,200104
17-09-2007,BUY,4.15005,48217,1.00137
06-12-2007,SELL,5.69709,48217,274698
07-12-2007,BUY,5.82734,47139,2.60964
23-01-2008,SELL,4.17087,47139,196613
31-03-2008,BUY,4.30383,45683,1.38468
27-06-2008,SELL,5.10077,45683,233020
27-08-2008,BUY,5.23875,44480,0.260585
12-09-2008,SELL,4.46658,44480,198674
12-02-2009,BUY,2.97717,66732,1.23055
13-03-2009,SELL,2.87728,66732,192008
19-03-2009,BUY,3.0474,63007,0.347705
18-12-2009,SELL,5.86123,63007,369299
04-01-2010,BUY,6.4184,57537,3.38552
10-02-2010,SELL,5.85239,57537,336732
10-03-2010,BUY,6.74338,49935,1.66865
11-06-2010,SELL,7.60296,49935,379655
18-06-2010,BUY,8.21925,46191,0.0994952
22-07-2010,SELL,7.76788,46191,358806
20-09-2010,BUY,8.49455,42239,4.94713
30-03-2011,SELL,10.4539,42239,441567
12-05-2011,BUY,10.3938,42483,7.42383
27-05-2011,SELL,10.1189,42483,429889
14-07-2011,BUY,10.7298,40064,9.94533
17-11-2011,SELL,11.319,40064,453494
28-12-2011,BUY,12.0764,37552,1.38853
09-05-2012,SELL,17.0707,37552,641040
25-06-2012,BUY,17.1177,37448,16.6853
17-10-2012,SELL,19.415,37448,727070
17-05-2013,BUY,13.2728,54778,12.1669
26-06-2013,SELL,12.1932,54778,667931
31-07-2013,BUY,13.8632,48180,2.30053
04-10-2013,SELL,14.8962,48180,717701
16-10-2013,BUY,15.453,46444,2.08453
28-01-2014,SELL,15.7114,46444,729702
11-03-2014,BUY,16.7259,43627,1.50683
17-03-2014,SELL,16.4373,43627,717112
24-03-2014,BUY,16.825,42621,13.2689
22-04-2014,SELL,16.5905,42621,707117
25-04-2014,BUY,17.8454,39624,10.8398
17-10-2014,SELL,21.56,39624,854304
28-10-2014,BUY,23.5605,36260,0.549825
05-01-2015,SELL,23.5555,36260,854123
05-02-2015,BUY,26.6945,31996,5.75783
16-04-2015,SELL,28.0825,31996,898533
28-04-2015,BUY,29.0536,30926,21.7942
26-06-2015,SELL,28.3268,30926,876056
27-10-2015,BUY,25.7165,34065,23.8385
18-12-2015,SELL,23.9101,34065,814521
10-03-2016,BUY,22.9361,35512,14.6118
05-05-2016,SELL,21.2633,35512,755117
23-06-2016,BUY,21.9166,34454,2.38503
27-06-2016,SELL,20.9932,34454,723302
30-06-2016,BUY,21.8044,33172,6.54103
11-07-2016,SELL,22.119,33172,733738
25-07-2016,BUY,22.2003,33050,18.094
15-11-2016,SELL,24.6842,33050,815831
21-12-2016,BUY,26.9823,30235,21.0635
27-06-2017,SELL,33.4084,30235,1.01012e+006
02-08-2017,BUY,36.5238,27656,21.8247
02-10-2017,SELL,35.8894,27656,992579
01-11-2017,BUY,38.94,25489,37.4111
06-02-2018,SELL,38.1808,25489,973228
08-03-2018,BUY,41.6035,23392,38.7503
13-04-2018,SELL,41.09,23392,961216
10-05-2018,BUY,44.6846,21511,5.59973
11-07-2018,SELL,44.3466,21511,953945
24-07-2018,BUY,45.5566,20939,35.6649
29-10-2018,SELL,50.2787,20939,1.05282e+006
12-02-2019,BUY,40.7953,25807,17.0571
24-05-2019,SELL,42.8882,25807,1.10683e+006
01-07-2019,BUY,48.3019,22914,43.0979
06-03-2020,SELL,69.9008,22914,1.60175e+006
30-04-2020,BUY,71.056,22542,5.67713
02-10-2020,SELL,109.844,22542,2.47611e+006
05-11-2020,BUY,115.666,21407,47.0631
26-02-2021,SELL,118.212,21407,2.53061e+006
19-04-2021,BUY,131.451,19251,48.1461
26-05-2021,SELL,123.877,19251,2.3848e+006
28-06-2021,BUY,131.616,18119,53.9691
01-10-2021,SELL,139.515,18119,2.52793e+006
04-11-2021,BUY,147.644,17121,113.33
31-01-2022,SELL,171.187,17121,2.93101e+006
05-04-2022,BUY,171.68,17072,84.9971
03-05-2022,SELL,156.405,17072,2.67023e+006
20-07-2022,BUY,150.307,17765,27.3021
19-09-2022,SELL,151.932,17765,2.6991e+006
21-11-2022,BUY,145.809,18511,28.8831
29-11-2022,SELL,139.071,18511,2.57437e+006
01-12-2022,BUY,146.106,17619,130.55
19-12-2022,SELL,130.403,17619,2.2977e+006
03-02-2023,BUY,152.203,15096,44.5191
16-08-2023,SELL,174.688,15096,2.63713e+006
14-11-2023,BUY,185.686,14202,21.9951
17-01-2024,SELL,180.97,14202,2.57016e+006
08-05-2024,BUY,181.261,14179,58.2161
20-08-2024,SELL,225.243,14179,3.19378e+006
27-08-2024,BUY,226.753,14084,189.461
19-11-2024,SELL,227.252,14084,3.20081e+006
03-12-2024,BUY,241.559,13250,149.879
27-01-2025,SELL,228.825,13250,3.03208e+006
