Date,Equity
07-09-1984,10000
10-09-1984,10000
11-09-1984,10000
12-09-1984,10000
13-09-1984,10000
14-09-1984,10000
17-09-1984,10000
18-09-1984,10000
19-09-1984,10000
20-09-1984,10000
21-09-1984,10000
24-09-1984,10000
25-09-1984,10000
26-09-1984,10000
27-09-1984,10000
28-09-1984,10000
01-10-1984,10000
02-10-1984,10000
03-10-1984,10000
04-10-1984,10000
05-10-1984,10000
08-10-1984,10000
09-10-1984,10000
10-10-1984,10000
11-10-1984,10000
12-10-1984,10000
15-10-1984,10000
16-10-1984,10000
17-10-1984,10000
18-10-1984,10000
19-10-1984,10000
22-10-1984,10000
23-10-1984,10000
24-10-1984,10000
25-10-1984,10000
26-10-1984,10000
29-10-1984,10000
30-10-1984,10000
31-10-1984,10000
01-11-1984,10000
02-11-1984,10000
05-11-1984,10000
06-11-1984,10000
07-11-1984,10000
08-11-1984,10000
09-11-1984,10000
12-11-1984,10000
13-11-1984,10000
14-11-1984,10000
15-11-1984,10000
16-11-1984,10000
19-11-1984,10000
20-11-1984,10000
21-11-1984,10000
23-11-1984,10000
26-11-1984,10000
27-11-1984,10000
28-11-1984,10000
29-11-1984,10000
30-11-1984,10000
03-12-1984,10000
04-12-1984,10000
05-12-1984,10000
06-12-1984,10000
07-12-1984,10000
10-12-1984,10000
11-12-1984,10000
12-12-1984,10000
13-12-1984,9990.01
14-12-1984,10238.7
17-12-1984,10487.2
18-12-1984,11110
19-12-1984,10674.9
20-12-1984,10611.7
21-12-1984,10487.2
24-12-1984,10674.9
26-12-1984,10705.3
27-12-1984,10767.4
28-12-1984,11140.5
31-12-1984,11296.4
02-01-1985,10828.8
03-01-1985,11016.1
04-01-1985,11016.1
07-01-1985,10954.1
08-01-1985,10859.2
09-01-1985,11140.5
10-01-1985,11637.9
11-01-1985,11545.1
14-01-1985,11855
15-01-1985,11637.9
16-01-1985,11734.8
17-01-1985,10890.9
18-01-1985,11110
21-01-1985,11358.8
22-01-1985,11669.3
23-01-1985,11482.1
24-01-1985,11265
25-01-1985,11482.1
28-01-1985,11734.8
29-01-1985,11605.2
30-01-1985,11605.2
31-01-1985,11265
01-02-1985,11110
04-02-1985,11358.8
05-02-1985,11420.9
06-02-1985,11637.9
07-02-1985,11605.2
08-02-1985,11605.2
11-02-1985,11827.2
12-02-1985,11545.1
13-02-1985,11016.1
14-02-1985,10705.3
15-02-1985,10859.2
19-02-1985,10705.3
20-02-1985,10238.7
21-02-1985,10426.3
22-02-1985,10705.3
25-02-1985,10578.9
26-02-1985,10353.8
27-02-1985,10353.8
28-02-1985,10353.8
01-03-1985,10353.8
04-03-1985,10353.8
05-03-1985,10353.8
06-03-1985,10353.8
07-03-1985,10353.8
08-03-1985,10353.8
11-03-1985,10353.8
12-03-1985,10353.8
13-03-1985,10353.8
14-03-1985,10353.8
15-03-1985,10353.8
18-03-1985,10353.8
19-03-1985,10353.8
20-03-1985,10353.8
21-03-1985,10353.8
22-03-1985,10353.8
25-03-1985,10353.8
26-03-1985,10353.8
27-03-1985,10353.8
28-03-1985,10353.8
29-03-1985,10353.8
01-04-1985,10353.8
02-04-1985,10353.8
03-04-1985,10353.8
04-04-1985,10353.8
08-04-1985,10353.8
09-04-1985,10353.8
10-04-1985,10353.8
11-04-1985,10353.8
12-04-1985,10353.8
15-04-1985,10353.8
16-04-1985,10353.8
17-04-1985,10353.8
18-04-1985,10353.8
19-04-1985,10353.8
22-04-1985,10353.8
23-04-1985,10353.8
24-04-1985,10353.8
25-04-1985,10353.8
26-04-1985,10353.8
29-04-1985,10353.8
30-04-1985,10353.8
01-05-1985,10353.8
02-05-1985,10353.8
03-05-1985,10353.8
06-05-1985,10353.8
07-05-1985,10353.8
08-05-1985,10353.8
09-05-1985,10353.8
10-05-1985,10353.8
13-05-1985,10353.8
14-05-1985,10353.8
15-05-1985,10353.8
16-05-1985,10353.8
17-05-1985,10353.8
20-05-1985,10353.8
21-05-1985,10353.8
22-05-1985,10353.8
23-05-1985,10353.8
24-05-1985,10353.8
28-05-1985,10353.8
29-05-1985,10353.8
30-05-1985,10353.8
31-05-1985,10353.8
03-06-1985,10353.8
04-06-1985,10353.8
05-06-1985,10353.8
06-06-1985,10353.8
07-06-1985,10353.8
10-06-1985,10353.8
11-06-1985,10353.8
12-06-1985,10353.8
13-06-1985,10353.8
14-06-1985,10353.8
17-06-1985,10353.8
18-06-1985,10353.8
19-06-1985,10353.8
20-06-1985,10353.8
21-06-1985,10353.8
24-06-1985,10353.8
25-06-1985,10353.8
26-06-1985,10353.8
27-06-1985,10353.8
28-06-1985,10353.8
01-07-1985,10353.8
02-07-1985,10353.8
03-07-1985,10353.8
05-07-1985,10353.8
08-07-1985,10353.8
09-07-1985,10353.8
10-07-1985,10353.8
11-07-1985,10353.8
12-07-1985,10353.8
15-07-1985,10353.8
16-07-1985,10353.8
17-07-1985,10353.8
18-07-1985,10353.8
19-07-1985,10353.8
22-07-1985,10353.8
23-07-1985,10343.5
24-07-1985,10139.7
25-07-1985,10379.1
26-07-1985,10379.1
29-07-1985,10379.1
30-07-1985,10368.7
31-07-1985,10161.9
01-08-1985,10161.9
02-08-1985,10113.2
05-08-1985,9854.34
06-08-1985,9743.7
07-08-1985,9743.7
08-08-1985,9743.7
09-08-1985,9743.7
12-08-1985,9743.7
13-08-1985,9743.7
14-08-1985,9743.7
15-08-1985,9743.7
16-08-1985,9743.7
19-08-1985,9743.7
20-08-1985,9743.7
21-08-1985,9743.7
22-08-1985,9743.7
23-08-1985,9743.7
26-08-1985,9743.7
27-08-1985,9743.7
28-08-1985,9743.7
29-08-1985,9743.7
30-08-1985,9743.7
03-09-1985,9743.7
04-09-1985,9743.7
05-09-1985,9743.7
06-09-1985,9743.7
09-09-1985,9743.7
10-09-1985,9743.7
11-09-1985,9743.7
