Date,Action,Price,Shares,CashAfter
13-12-1984,BUY,0.0962794,103760,0.0595055
26-02-1985,SELL,0.0998857,103760,10353.8
23-07-1985,BUY,0.0617964,167380,0.0106838
25-07-1985,SELL,0.0620713,167380,10379.1
30-07-1985,BUY,0.0605786,171161,0.0529352
06-08-1985,SELL,0.0569838,171161,9743.7
26-09-1985,BUY,0.0593704,163953,0.0145765
11-07-1986,SELL,0.138864,163953,22744.4
28-08-1986,BUY,0.14127,160838,0.110955
02-10-1986,SELL,0.127403,160838,20470.9
10-11-1986,BUY,0.132284,154594,0.100416
22-10-1987,SELL,0.275599,154594,42563.4
28-12-1987,BUY,0.301735,140921,0.127538
17-02-1988,SELL,0.314018,140921,44207.6
04-03-1988,BUY,0.35151,125639,0.0781302
08-04-1988,SELL,0.30743,125639,38586.7
08-06-1988,BUY,0.337377,114258,0.0814152
04-08-1988,SELL,0.334449,114258,38175.3
04-10-1988,BUY,0.31131,122505,0.173202
20-10-1988,SELL,0.31131,122505,38099.1
21-12-1988,BUY,0.313061,121576,0.30288
08-02-1989,SELL,0.286667,121576,34817.3
19-04-1989,BUY,0.306577,113454,0.1089
06-07-1989,SELL,0.309148,113454,35039.1
23-08-1989,BUY,0.328124,106679,0.167879
15-11-1989,SELL,0.33164,106679,35343.8
14-03-1990,BUY,0.277375,127295,0.0533394
16-05-1990,SELL,0.311938,127295,39668.5
30-05-1990,BUY,0.310386,127676,0.0211227
08-06-1990,SELL,0.286667,127676,36563.9
03-07-1990,BUY,0.3299,110722,0.201531
10-08-1990,SELL,0.290556,110722,32139
13-11-1990,BUY,0.269951,118935,0.243214
01-05-1991,SELL,0.354192,118935,42083.9
26-07-1991,BUY,0.336433,124963,0.224253
30-09-1991,SELL,0.371258,124963,46347.3
31-10-1991,BUY,0.386333,119847,0.192291
11-12-1991,SELL,0.367379,119847,43985.4
02-01-1992,BUY,0.446287,98460,0.0745954
25-03-1992,SELL,0.48344,98460,47552
22-05-1992,BUY,0.446287,106443,0.346225
10-06-1992,SELL,0.403051,106443,42859.4
10-09-1992,BUY,0.369276,115947,0.141044
09-10-1992,SELL,0.325441,115947,37696.3
27-10-1992,BUY,0.386333,97477,0.0743404
11-02-1993,SELL,0.413313,97477,40248.3
18-05-1993,BUY,0.41626,96593,0.287148
17-06-1993,SELL,0.309148,96593,29832
27-10-1993,BUY,0.238102,125165,0.119512
22-12-1993,SELL,0.20999,125165,26257.2
24-01-1994,BUY,0.262429,99954,0.17537
05-04-1994,SELL,0.251292,99954,25092.7
27-07-1994,BUY,0.232757,107698,0.167448
05-12-1994,SELL,0.278625,107698,29977.5
11-01-1995,BUY,0.350595,85419,0.0935632
02-03-1995,SELL,0.300015,85419,25601.4
03-05-1995,BUY,0.285783,89494,0.0082011
09-08-1995,SELL,0.323362,89494,28910
16-11-1995,BUY,0.299318,96489,0.252674
22-12-1995,SELL,0.241765,96489,23304.6
15-05-1996,BUY,0.213487,109052,0.122587
14-06-1996,SELL,0.179673,109052,19574.2
14-08-1996,BUY,0.170667,114577,0.161512
30-09-1996,SELL,0.166128,114577,19015.6
10-10-1996,BUY,0.181146,104868,0.159773
13-12-1996,SELL,0.174211,104868,18251
27-03-1997,BUY,0.139797,130423,0.0728866
15-05-1997,SELL,0.13314,130423,17347.2
01-08-1997,BUY,0.143688,120607,0.118194
03-10-1997,SELL,0.165905,120607,19989.4
22-01-1998,BUY,0.144226,138459,0.0561027
10-06-1998,SELL,0.210327,138459,29092.6
